Date;Whole Network;Integrity;(DIGIS2) DL Traffic Volume (GBytes);(DIGIS2) UL Traffic Volume (GBytes);L.Traffic.ActiveUser.Avg;L.Traffic.ActiveUser.DL.Avg
2020-11-10;Whole Network;100%;10293.3911;1729.2062;395.9205;201.0831
2020-11-11;Whole Network;100%;10662.506;1791.3232;417.2537;213.6492
2020-11-12;Whole Network;100%;10765.5107;1749.0515;416.9657;216.1774
2020-11-13;Whole Network;100%;10751.5253;1846.0942;418.1201;215.7591
2020-11-14;Whole Network;100%;11136.7846;1918.909;427.9564;220.5381
2020-11-15;Whole Network;100%;11121.0321;1851.5441;427.4643;219.8232
2020-11-16;Whole Network;100%;10460.2439;1728.9419;408.1264;209.6605
2020-11-17;Whole Network;100%;10640.4098;1791.8831;417.2349;214.8269
2020-11-18;Whole Network;100%;10719.3003;1803.3808;425.0625;218.5944
2020-11-19;Whole Network;100%;10848.2154;1817.99;426.1322;219.6399
2020-11-20;Whole Network;100%;11120.3596;1853.869;433.9942;226.5786
2020-11-21;Whole Network;100%;11350.4826;1948.0744;440.4213;225.3815
2020-11-22;Whole Network;100%;11741.1725;1993.5855;455.4174;234.2773
2020-11-23;Whole Network;100%;10692.4482;1812.8506;421.9922;216.0339
2020-11-24;Whole Network;100%;10769.7841;1872.9016;430.2064;220.4438
2020-11-25;Whole Network;100%;10960.3482;1872.7188;432.434;223.891
2020-11-26;Whole Network;100%;10714.7857;1877.4151;419.3062;215.6412
2020-11-27;Whole Network;99%;10924.6127;1924.2085;427.199;219.2046
2020-11-28;Whole Network;100%;11168.2857;1958.7453;425.9001;218.248
2020-11-29;Whole Network;99%;11729.7394;2007.4417;452.074;233.3166
2020-11-30;Whole Network;99%;10023.9541;1789.7481;401.5899;201.2773
2020-12-01;Whole Network;100%;10589.8063;1821.4696;418.8729;210.1711
2020-12-02;Whole Network;99%;10573.674;1802.8986;419.4993;212.217
2020-12-03;Whole Network;96%;10613.8748;1850.3665;421.6489;211.4245
2020-12-04;Whole Network;100%;10852.1908;1904.3605;432.7985;217.0909
2020-12-05;Whole Network;100%;11407.3461;2010.6737;451.7506;230.6621
2020-12-06;Whole Network;100%;11280.3892;2037.2896;463.0822;234.743
2020-12-07;Whole Network;100%;10703.6082;1961.6895;434.1405;217.8232
2020-12-08;Whole Network;100%;11051.6246;1933.3561;449.9235;228.6159
2020-12-09;Whole Network;100%;11101.9718;1967.2555;451.1717;232.3401
2020-12-10;Whole Network;100%;9588.0607;1733.371;386.1118;191.4849
2020-12-11;Whole Network;100%;11259.6852;1977.5611;446.718;230.6171
2020-12-12;Whole Network;100%;11726.6896;2083.9252;467.2316;244.1401
2020-12-13;Whole Network;100%;11938.5116;2136.4907;476.0945;247.8049
2020-12-14;Whole Network;100%;11205.6738;2047.081;454.1601;235.7345
2020-12-15;Whole Network;100%;11908.8097;2083.789;482.8645;255.9547
2020-12-16;Whole Network;100%;11714.2234;2132.8765;482.0468;254.8558
2020-12-17;Whole Network;100%;12012.8779;2188.2718;479.8086;252.6464
2020-12-18;Whole Network;100%;11963.4578;2205.8625;474.2654;249.1713
2020-12-19;Whole Network;100%;12261.9336;2272.8573;483.1663;254.1784
2020-12-20;Whole Network;100%;12472.9121;2330.4397;500.2359;262.279
2020-12-21;Whole Network;98%;11700.0561;2207.3113;471.0829;248.2547
2020-12-22;Whole Network;100%;11862.2083;2190.0987;482.6466;253.1202
2020-12-23;Whole Network;100%;11945.5929;2224.5857;481.2639;255.2469
2020-12-24;Whole Network;100%;12048.4801;2276.1499;478.842;252.9376
2020-12-25;Whole Network;100%;12793.3051;2570.5509;514.5876;270.38
2020-12-26;Whole Network;100%;12064.509;2387.643;488.4245;254.0919
2020-12-27;Whole Network;100%;12392.8939;2457.8515;504.7001;261.2139
2020-12-28;Whole Network;100%;11521.3888;2321.0201;471.2121;241.9949
2020-12-29;Whole Network;100%;12020.9868;2325.7369;488.5748;254.3739
2020-12-30;Whole Network;100%;12165.6323;2345.8607;491.9151;256.3351
2020-12-31;Whole Network;100%;11898.0763;2426.1077;479.7099;244.2913
2021-01-01;Whole Network;100%;9636.2799;2133.9843;395.2984;195.4849
2021-01-02;Whole Network;100%;9967.944;2246.8579;462.1763;225.4169
2021-01-03;Whole Network;100%;11768.2714;2474.1788;490.4937;243.0369
2021-01-04;Whole Network;100%;11619.2266;2415.1625;483.0666;244.3476
2021-01-05;Whole Network;100%;11884.9343;2384.0647;493.4384;251.5622
2021-01-06;Whole Network;100%;11446.6739;2220.492;475.1172;241.8938
2021-01-07;Whole Network;100%;12151.6812;2318.163;490.385;252.161
2021-01-08;Whole Network;100%;12156.835;2401.4163;491.1236;252.1207
2021-01-09;Whole Network;100%;12533.7121;2500.9773;499.3017;260.4873
2021-01-10;Whole Network;100%;12847.8053;2632.5026;517.4404;266.0322
2021-01-11;Whole Network;100%;12223.194;2448.4311;492.3579;257.243
2021-01-12;Whole Network;100%;12537.1694;2404.5442;498.0109;262.7759
2021-01-13;Whole Network;100%;12581.6258;2409.3175;501.5095;264.6747
2021-01-14;Whole Network;99%;12329.9904;2315.0161;494.6715;262.3078
2021-01-15;Whole Network;100%;12951.6835;2420.2653;512.2276;273.8097
2021-01-16;Whole Network;100%;13280.5042;2526.7001;522.9903;277.0276
2021-01-17;Whole Network;100%;13584.28;2574.0983;533.6806;280.7261
2021-01-18;Whole Network;100%;12158.835;2395.8499;493.3842;255.3987
2021-01-19;Whole Network;100%;12625.5426;2434.3909;508.9348;266.7442
2021-01-20;Whole Network;100%;13065.3566;2475.1539;522.9422;278.6338
2021-01-21;Whole Network;100%;12843.5224;2438.6349;518.1517;275.2037
2021-01-22;Whole Network;100%;12482.3758;2376.1706;496.777;261.5756
2021-01-23;Whole Network;100%;12814.8076;2471.3942;512.3416;268.6386
2021-01-24;Whole Network;100%;13778.7503;2633.376;549.8711;291.5485
2021-01-25;Whole Network;100%;12603.2896;2438.1307;515.1272;273.7921
2021-01-26;Whole Network;100%;13059.5574;2449.4401;528.7998;280.6028
2021-01-27;Whole Network;100%;13080.6291;2401.6188;528.8584;284.9909
2021-01-28;Whole Network;98%;11830.3724;2229.6462;500.5888;264.9831
2021-01-29;Whole Network;100%;12760.5327;2450.7886;517.7535;273.5562
2021-01-30;Whole Network;100%;13314.3427;2581.5419;529.7899;280.7062
2021-01-31;Whole Network;100%;13542.4456;2548.9214;534.3287;281.0446
2021-02-01;Whole Network;100%;12033.623;2247.2643;482.1068;251.343
2021-02-02;Whole Network;100%;10018.0696;1968.2098;435.5535;224.9525
2021-02-03;Whole Network;100%;13219.7987;2453.2634;552.8282;292.7081
2021-02-04;Whole Network;100%;13114.2021;2448.9517;538.2533;286.5484
2021-02-05;Whole Network;100%;13201.3346;2479.4465;540.4856;287.3011
2021-02-06;Whole Network;100%;13373.884;2570.1674;541.2017;284.707
2021-02-07;Whole Network;100%;14189.4467;2729.8618;573.3787;298.8326
2021-02-08;Whole Network;100%;13089.6241;2500.8979;545.6416;289.0341
2021-02-09;Whole Network;100%;5789.0168;1300.1413;302.1152;153.7848
2021-02-10;Whole Network;98%;14149.1927;2720.3624;589.9662;315.4807
2021-02-11;Whole Network;100%;13993.6428;2634.4751;558.9213;297.8817
2021-02-12;Whole Network;97%;13488.9786;2590.8562;540.0806;285.0651
2021-02-13;Whole Network;94%;13022.0763;2571.3664;540.9007;279.8467
2021-02-14;Whole Network;100%;14766.9798;2926.1699;583.486;302.5113
2021-02-15;Whole Network;98%;13443.0514;2695.4982;531.9662;274.7129
2021-02-16;Whole Network;100%;13713.3705;2587.4366;542.6272;284.3146
2021-02-17;Whole Network;100%;14385.1487;2644.8943;566.8089;301.3177
2021-02-18;Whole Network;100%;15430.1065;2797.7766;603.8676;321.0655
2021-02-19;Whole Network;100%;14823.1984;2732.434;570.3737;302.8977
2021-02-20;Whole Network;100%;14936.7921;2846.216;576.2657;299.9175
2021-02-21;Whole Network;99%;15159.9624;2846.1796;595.7628;312.0474
2021-02-22;Whole Network;99%;13929.1064;2605.4214;544.47;283.9225
2021-02-23;Whole Network;100%;14285.3085;2625.0221;562.3903;295.5466
2021-02-24;Whole Network;98%;14398.1421;2606.2852;561.3129;294.8485
2021-02-25;Whole Network;100%;14818.819;2659.0308;565.985;301.0474
2021-02-26;Whole Network;100%;15495.64;2699.1094;575.1329;309.9895
2021-02-27;Whole Network;100%;15054.6194;2763.5795;564.3301;293.7771
2021-02-28;Whole Network;100%;15516.7618;2830.1615;589.6002;306.5571
2021-03-01;Whole Network;99%;14236.9171;2698.5543;560.2308;293.6483
2021-03-02;Whole Network;99%;14554.4855;2736.7492;568.4326;296.2202
2021-03-03;Whole Network;100%;15165.8156;2713.6398;591.4419;312.8695
2021-03-04;Whole Network;99%;15111.6566;2726.8586;601.5175;319.2149
2021-03-05;Whole Network;100%;15639.4689;2790.6816;607.2298;321.8062
2021-03-06;Whole Network;100%;15858.6036;2899.2032;605.4956;317.4337
2021-03-07;Whole Network;100%;16168.6256;3068.7595;618.3916;323.8622
2021-03-08;Whole Network;100%;15456.7979;2838.0856;605.642;325.6823
2021-03-09;Whole Network;100%;15392.0983;2764.8404;602.5815;324.9247
